id;name;year;type;genres;episodes;rating;source;status
877; Nana; 2007; TV; 1; 3; 8.53; Manga; 1
6862; K-On__Live_House; 2010; Special; 1; 1; 7.87; 4-komamanga; 1
731; Interstella5555__The_5tory_of_The_5ecret_5tar_5ystem; 2003; ; 1; 1; 8.17; 1; 1
12079; Black★Rock_Shooter; 2008; ; 1; 1; 7.25; Other; 1
19111; Love_Live_School_Idol_Project_2nd_Season; 2014; TV; 1; 2; 8.03; Other; 1
10805; Kami_nomi_zo_Shiru_Sekai__4-nin_to_Idol; 2011; OVA; 1; 1; 7.41; Unknown; 1
23587; The_iDOLMSTER_Cinderella_Girls; 2015; TV; 1; 2; 7.20; Game; 1
21439; Uta_no☆Prince-sama♪_Maji_Love_Revolutions; 2015; TV; 1; 2; 7.19; Visualnovel; 1
122; Full_Moon_wo_Sagashite; 2003; TV; 1; 3; 8.07; Manga; 1
20033; Miss_Monochrome__The_Animation; 2013; TV; 1; 2; 6.50; Original; 1
11751; Senki_Zesshou_Symphogear; 2012; TV; 1; 2; 7.03; Original; 1
23273; Shigatsu_wa_Kimi_no_Uso; 2015; TV; 1; 2; 8.90; Manga; 1
30895; HaruChika__Haruta_to_Chika_wa_Seishun_suru; 2016; TV; 1; 2; 6.47; Novel; 1
1698; Nodame_Cantabile; 2007; TV; 1; 2; 8.44; Manga; 1
6802; So_Ra_No_Wo_To; 2010; TV; 1; 2; 7.60; Original; 1
20555; SoniAni__Super_Sonico_The_Animation; 2014; TV; 1; 2; 6.24; Other; 1
10321; Uta_no☆Prince-sama♪_Maji_Love_1000; 2011; TV; 1; 2; 7.33; Visualnovel; 1
57; Beck; 2005; TV; 1; 2; 8.39; Manga; 1
15051; Love_Live_School_Idol_Project; 2013; TV; 1; 2; 7.67; Other; 1
33203; Fukumenkei_Noise; 2017; TV; 1; 2; 7.13; Manga; 1
10278; The_iDOLMSTER; 2011; TV; 1; 2; 7.73; Game; 1
4720; White_Album; 2009; TV; 1; 2; 6.72; Visualnovel; 1
5690; Nodame_Cantabile_Finale; 2010; TV; 1; 2; 8.36; Manga; 1
12149; AKB0048; 2012; TV; 1; 2; 7.52; Original; 1
243; Gravitation; 2001; TV; 1; 2; 7.23; Manga; 1
33743; Fuuka; 2017; TV; 1; 2; 6.78; Manga; 1
165; RahXephon; 2002; TV; 0; 2; 7.53; Original; 1
28013; Macross_Δ; 2016; TV; 0; 2; 7.32; Original; 1
24997; Love_Live_The_School_Idol_Movie; 2015; Movie; 1; 1; 8.15; Original; 1
6361; ef__A_Tale_of_Memories_-_Prologue; 2007; Special; 1; 1; 7.23; Visualnovel; 1
6187; Nodame_Cantabile_OVA; 2009; OVA; 1; 1; 7.56; Unknown; 1
10918; Kowarekake_no_Orgel_Movie; 2010; Movie; 1; 1; 7.47; Original; 1
6399; Higashi_no_Eden__Falling_Down; 2009; ; 1; 1; 7.53; Unknown; 1
35382; Welcome_to_The_Madness; 2017; Special; 1; 1; 8.22; Original; 1
1047; On_Your_Mark; 1995; ; 1; 1; 7.57; 1; 1
34973; Love_Live_Sunshine_2nd_Season; 2017; TV; 1; 0; -1; Original; 0
13629; Furiko; 2012; Special; 1; 1; 7.82; Original; 1
29513; Aki_no_Kanade; 2015; Movie; 1; 1; 7.18; Original; 1
1869; Nana_Recaps; 2007; Special; 1; 2; 7.09; Manga; 1
19251; Uta_no☆Prince-sama♪_Maji_Love_2000__Shining_Star_Xmas; 2013; Special; 1; 1; 7.45; Visualnovel; 1
10257; Pretty_Rhythm__Aurora_Dream; 2012; TV; 1; 3; 7.57; Game; 1
33573; BanG_Dream; 2017; TV; 1; 2; 6.81; Manga; 1
14835; The_iDOLMSTER_Shiny_Festa; 2012; OVA; 1; 2; 7.30; Game; 1
33037; Tsukiuta_The_Animation; 2016; TV; 1; 2; 6.98; 1; 1
31178; Uta_no☆Prince-sama♪_Maji_Love_Legend_Star; 2016; TV; 1; 2; 7.27; Visualnovel; 1
33299; Magic-Kyun_Renaissance; 2016; TV; 1; 2; 7.23; Original; 1
1025; Kachou_Ouji; 1999; TV; 1; 2; 7.12; Original; 1
33046; B-Project__KodouAmbitious; 2016; TV; 1; 2; 6.76; 1; 1
9930; Snow_Halation; 2010; ; 1; 1; 7.65; 1; 1
23135; PriPara; 2017; TV; 1; 4; 7.62; Game; 1
30514; Nisekoimonogatari; 2015; ONA; 1; 1; 7.00; Other; 1
31540; Sekkou_Boys; 2016; TV; 1; 2; 6.39; Original; 1
1890; Clover; 1999; ; 1; 1; 6.98; Manga; 1
2953; Egao; 2003; ; 1; 1; 6.72; Unknown; 1
8197; So_Ra_No_Wo_To_Specials; 2010; Special; 1; 2; 7.61; Original; 1
31665; Hibike_Euphonium__Kakedasu_Monaka; 2015; Special; 1; 1; 7.48; Novel; 1
4454; Macross_F__Close_Encounter_-_Deculture_Edition; 2007; Special; 0; 1; 7.84; Original; 1
11889; The_iDOLMSTER__765_Pro_to_Iu_Monogatari; 2012; Special; 1; 1; 7.56; Game; 1
34177; Tenshi_no_3P; 2017; TV; 1; 2; 6.96; Lightnovel; 2
32977; Aggressive_Retsuko; 2017; TV; 1; 0; 7.47; Original; 2
8230; True_Tears_Epilogue; 2010; ; 1; 1; 6.75; Original; 1
2724; Daicon_Opening_Animations; 1983; Special; 0; 2; 7.71; Other; 1
34751; Blood_Lad__Kanketsu_Kinen; 2017; ONA; 1; 1; 6.42; Manga; 1
11033; Natsu-iro_Egao_de_1_2_Jump; 2011; ; 1; 1; 7.33; 1; 1
12637; Mo_Gyutto_Love_de_Sekkinchuu; 2012; ; 1; 1; 7.32; 1; 1
34204; Hibike_Euphonium_2_Specials; 2017; Special; 1; 2; 6.56; Original; 1
35082; Hibike_Euphonium_Movie__Todoketai_Melody; 2017; Movie; 1; 1; -1; Novel; 0
1935; Megazone_23; 1989; OVA; 0; 2; 6.97; Original; 1
